"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.original_image_url","Input.check_image_url","Answer.equal.label","Approve","Reject"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","3137ONMDKIEMGQXI7WTATUP3DC2GET","A1QH5YN3THTUP4","Approved","Tue Oct 29 23:02:10 PDT 2019","Tue Oct 29 23:02:40 PDT 2019","Wed Oct 30 23:02:40 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","30","100% (6/6)","100% (6/6)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(4) Very Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","31Q0U3WYDRO43WS525U1GXTGP0H17U","A1A9UMVFPLZH2F","Approved","Tue Oct 29 23:12:49 PDT 2019","Tue Oct 29 23:14:19 PDT 2019","Wed Oct 30 23:14:19 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","90","100% (26/26)","100% (17/17)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(3) Almost Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","337RC3OW07BJ4TX5DDF06QIX9ORVLK","A119XB4OETWU59","Approved","Tue Oct 29 23:02:23 PDT 2019","Tue Oct 29 23:03:47 PDT 2019","Wed Oct 30 23:03:47 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","84","100% (136/136)","100% (105/105)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(3) Almost Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","33CID571062ZSKVMT39UNVQEI4YL3D","A2FJ8YQ6VHGD2L","Approved","Tue Oct 29 23:01:50 PDT 2019","Tue Oct 29 23:02:48 PDT 2019","Wed Oct 30 23:02:48 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","58","100% (27/27)","100% (27/27)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(5) Exactly Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","358010RM5G2E4NEURWIOHKDKGX1VX6","AZDAV9Y5D0C3T","Approved","Tue Oct 29 23:02:46 PDT 2019","Tue Oct 29 23:04:30 PDT 2019","Wed Oct 30 23:04:30 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","104","100% (27/27)","100% (18/18)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(3) Almost Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","3B1NLC6UG15QDHM8GA9LN6O7RJ4PGN","AZFHBOI9IHMK4","Approved","Tue Oct 29 23:05:03 PDT 2019","Tue Oct 29 23:06:18 PDT 2019","Wed Oct 30 23:06:18 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","75","100% (133/133)","100% (108/108)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(4) Very Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","3EKVH9QME0DR9QBBCMX1L8DH3HW2D3","A2OP2ZANIM5ZV","Approved","Tue Oct 29 22:58:22 PDT 2019","Tue Oct 29 22:59:29 PDT 2019","Wed Oct 30 22:59:29 PDT 2019","Wed Oct 30 00:34:29 PDT 2019","","","67","100% (123/123)","100% (117/117)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(3) Almost Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","3ERMJ6L4D011ZLEUVRDZ0PHJNBA7M6","ASVHPLSI6MK6F","Approved","Tue Oct 29 22:59:08 PDT 2019","Tue Oct 29 23:02:13 PDT 2019","Wed Oct 30 23:02:13 PDT 2019","Wed Oct 30 00:34:30 PDT 2019","","","185","100% (25/25)","100% (20/20)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(3) Almost Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","3GDTJDAPVWK5ZZJD5W55EPDEYVG8MU","A14UJPO621M1X0","Approved","Tue Oct 29 23:00:31 PDT 2019","Tue Oct 29 23:00:42 PDT 2019","Wed Oct 30 23:00:42 PDT 2019","Wed Oct 30 00:34:30 PDT 2019","","","11","100% (126/126)","100% (117/117)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(3) Almost Similar"
"39XCQ6V3KZDI1UHQUGMKPPBBLWB658","37XOZLJ3ZXYK2P6DWW4V8XCLFD9KIQ","Does this image contain the similar patterns like the given image? (Please rate the image based on the similarity)","Does this image contain the similar patterns? Rate the Image based on the similarity with given one by considering the marked circles. The given plot depicts time series data of the volume of taxi cab trips in NewYork city in a 2 months period in 2014.","image, equality, comparison","$0.01","Tue Oct 29 22:57:51 PDT 2019","25","BatchId:3818175;OriginalHitTemplateId:928390889;","300","86400","Thu Oct 31 22:57:51 PDT 2019","","","3M1CVSFP62EA32AKUNW0RP3EYKEAQO","A3VWU0WEB2VD48","Approved","Tue Oct 29 23:06:40 PDT 2019","Tue Oct 29 23:07:00 PDT 2019","Wed Oct 30 23:07:00 PDT 2019","Wed Oct 30 00:34:30 PDT 2019","","","20","100% (168/168)","100% (107/107)","0% (0/0)","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_original.png","https://s3.us-east-2.amazonaws.com/imagecheck1/turk/temp_window.png","(4) Very Similar"
